County-State,County,Population,Median household income,State Code,State
"Polk County, Iowa",Polk County,452369,60061,IA,Iowa
"Pottawattamie County, Iowa",Pottawattamie County,93213,51976,IA,Iowa
"Poweshiek County, Iowa",Poweshiek County,18705,51006,IA,Iowa
"Ringgold County, Iowa",Ringgold County,5061,47042,IA,Iowa
"Sac County, Iowa",Sac County,10101,49572,IA,Iowa
"Scott County, Iowa",Scott County,169994,55114,IA,Iowa
"Shelby County, Iowa",Shelby County,11992,50952,IA,Iowa
"Sioux County, Iowa",Sioux County,34509,61627,IA,Iowa
"Story County, Iowa",Story County,93586,50438,IA,Iowa
"Tama County, Iowa",Tama County,17479,55203,IA,Iowa
"Taylor County, Iowa",Taylor County,6213,44246,IA,Iowa
"Union County, Iowa",Union County,12575,44351,IA,Iowa
"Van Buren County, Iowa",Van Buren County,7432,45111,IA,Iowa
"Wapello County, Iowa",Wapello County,35315,42095,IA,Iowa
"Warren County, Iowa",Warren County,47542,64447,IA,Iowa
"Washington County, Iowa",Washington County,22017,56390,IA,Iowa
"Wayne County, Iowa",Wayne County,6384,43358,IA,Iowa
"Webster County, Iowa",Webster County,37295,42408,IA,Iowa
"Winnebago County, Iowa",Winnebago County,10614,47668,IA,Iowa
"Winneshiek County, Iowa",Winneshiek County,20884,54429,IA,Iowa
"Woodbury County, Iowa",Woodbury County,102530,46720,IA,Iowa
"Worth County, Iowa",Worth County,7563,48459,IA,Iowa
"Wright County, Iowa",Wright County,12936,43698,IA,Iowa
"Allen County, Kansas",Allen County,13081,38698,KS,Kansas
"Anderson County, Kansas",Anderson County,7896,40696,KS,Kansas
"Atchison County, Kansas",Atchison County,16633,43581,KS,Kansas
"Barber County, Kansas",Barber County,4770,51811,KS,Kansas
"Barton County, Kansas",Barton County,27399,44013,KS,Kansas
"Bourbon County, Kansas",Bourbon County,14812,38280,KS,Kansas
"Brown County, Kansas",Brown County,9880,43724,KS,Kansas
"Butler County, Kansas",Butler County,66092,58897,KS,Kansas
"Chase County, Kansas",Chase County,2722,38707,KS,Kansas
"Chautauqua County, Kansas",Chautauqua County,3520,37993,KS,Kansas
"Cherokee County, Kansas",Cherokee County,20952,41388,KS,Kansas
"Cheyenne County, Kansas",Cheyenne County,2682,44500,KS,Kansas
"Clark County, Kansas",Clark County,2145,42589,KS,Kansas
"Clay County, Kansas",Clay County,8421,52066,KS,Kansas
"Cloud County, Kansas",Cloud County,9339,39282,KS,Kansas
"Coffey County, Kansas",Coffey County,8458,57433,KS,Kansas
"Comanche County, Kansas",Comanche County,2010,45288,KS,Kansas
"Cowley County, Kansas",Cowley County,36079,43860,KS,Kansas
"Crawford County, Kansas",Crawford County,39304,36534,KS,Kansas
"Decatur County, Kansas",Decatur County,2905,40657,KS,Kansas
"Dickinson County, Kansas",Dickinson County,19516,49096,KS,Kansas
"Doniphan County, Kansas",Doniphan County,7859,47209,KS,Kansas
"Douglas County, Kansas",Douglas County,114967,50939,KS,Kansas
"Edwards County, Kansas",Edwards County,2991,47303,KS,Kansas
"Elk County, Kansas",Elk County,2683,36458,KS,Kansas
"Ellis County, Kansas",Ellis County,28993,45579,KS,Kansas
"Ellsworth County, Kansas",Ellsworth County,6410,47736,KS,Kansas
"Finney County, Kansas",Finney County,37133,49227,KS,Kansas
"Ford County, Kansas",Ford County,34714,50777,KS,Kansas
"Franklin County, Kansas",Franklin County,25753,51081,KS,Kansas
"Geary County, Kansas",Geary County,36787,43992,KS,Kansas
"Gove County, Kansas",Gove County,2735,46364,KS,Kansas
"Graham County, Kansas",Graham County,2593,43826,KS,Kansas
"Grant County, Kansas",Grant County,7816,55432,KS,Kansas
"Gray County, Kansas",Gray County,6065,61000,KS,Kansas
"Greeley County, Kansas",Greeley County,1224,47750,KS,Kansas
"Greenwood County, Kansas",Greenwood County,6393,38838,KS,Kansas
"Hamilton County, Kansas",Hamilton County,2586,45114,KS,Kansas
"Harper County, Kansas",Harper County,5861,43973,KS,Kansas
"Harvey County, Kansas",Harvey County,34835,51327,KS,Kansas
"Haskell County, Kansas",Haskell County,4130,56484,KS,Kansas
"Hodgeman County, Kansas",Hodgeman County,1939,54856,KS,Kansas
"Jackson County, Kansas",Jackson County,13400,54077,KS,Kansas
"Jefferson County, Kansas",Jefferson County,18898,57236,KS,Kansas
"Jewell County, Kansas",Jewell County,3038,40553,KS,Kansas
"Johnson County, Kansas",Johnson County,566814,76113,KS,Kansas
"Kearny County, Kansas",Kearny County,3952,50506,KS,Kansas
"Kingman County, Kansas",Kingman County,7790,50844,KS,Kansas
"Kiowa County, Kansas",Kiowa County,2536,43963,KS,Kansas
"Labette County, Kansas",Labette County,21048,41439,KS,Kansas
"Lane County, Kansas",Lane County,1674,56507,KS,Kansas
"Leavenworth County, Kansas",Leavenworth County,78227,63726,KS,Kansas
"Lincoln County, Kansas",Lincoln County,3154,44276,KS,Kansas
"Linn County, Kansas",Linn County,9528,46964,KS,Kansas
"Logan County, Kansas",Logan County,2793,46875,KS,Kansas
"Lyon County, Kansas",Lyon County,33462,40021,KS,Kansas
"McPherson County, Kansas",McPherson County,29252,56128,KS,Kansas
"Marion County, Kansas",Marion County,12290,45927,KS,Kansas
"Marshall County, Kansas",Marshall County,10005,45374,KS,Kansas
"Meade County, Kansas",Meade County,4383,52250,KS,Kansas
"Miami County, Kansas",Miami County,32688,60966,KS,Kansas
"Mitchell County, Kansas",Mitchell County,6296,48217,KS,Kansas
"Montgomery County, Kansas",Montgomery County,34184,41083,KS,Kansas
"Morris County, Kansas",Morris County,5750,47089,KS,Kansas
"Morton County, Kansas",Morton County,3106,46028,KS,Kansas
"Nemaha County, Kansas",Nemaha County,10159,48653,KS,Kansas
"Neosho County, Kansas",Neosho County,16423,43195,KS,Kansas
"Ness County, Kansas",Ness County,3077,44904,KS,Kansas
"Norton County, Kansas",Norton County,5590,47852,KS,Kansas
"Osage County, Kansas",Osage County,16080,49915,KS,Kansas
"Osborne County, Kansas",Osborne County,3782,40216,KS,Kansas
"Ottawa County, Kansas",Ottawa County,6048,52479,KS,Kansas
"Pawnee County, Kansas",Pawnee County,6911,43250,KS,Kansas
"Phillips County, Kansas",Phillips County,5501,44170,KS,Kansas
"Pottawatomie County, Kansas",Pottawatomie County,22625,60216,KS,Kansas
"Pratt County, Kansas",Pratt County,9739,49550,KS,Kansas
"Rawlins County, Kansas",Rawlins County,2545,41579,KS,Kansas
"Reno County, Kansas",Reno County,64058,45288,KS,Kansas
"Republic County, Kansas",Republic County,4806,40449,KS,Kansas
"Rice County, Kansas",Rice County,10014,48460,KS,Kansas
"Riley County, Kansas",Riley County,75022,44437,KS,Kansas
"Rooks County, Kansas",Rooks County,5186,43558,KS,Kansas
"Rush County, Kansas",Rush County,3184,38854,KS,Kansas
"Russell County, Kansas",Russell County,6988,41102,KS,Kansas
"Saline County, Kansas",Saline County,55735,47801,KS,Kansas
"Scott County, Kansas",Scott County,4928,51850,KS,Kansas
"Sedgwick County, Kansas",Sedgwick County,506529,50657,KS,Kansas
"Seward County, Kansas",Seward County,23274,47134,KS,Kansas
"Shawnee County, Kansas",Shawnee County,178792,50378,KS,Kansas
"Sheridan County, Kansas",Sheridan County,2531,49750,KS,Kansas
"Sherman County, Kansas",Sherman County,6054,39029,KS,Kansas
"Smith County, Kansas",Smith County,3740,43848,KS,Kansas
"Stafford County, Kansas",Stafford County,4320,47377,KS,Kansas
"Stanton County, Kansas",Stanton County,2149,43780,KS,Kansas
"Stevens County, Kansas",Stevens County,5772,55433,KS,Kansas
"Sumner County, Kansas",Sumner County,23638,50141,KS,Kansas
"Thomas County, Kansas",Thomas County,7925,48504,KS,Kansas
"Trego County, Kansas",Trego County,2951,54000,KS,Kansas
"Wabaunsee County, Kansas",Wabaunsee County,6997,54688,KS,Kansas
"Wallace County, Kansas",Wallace County,1595,47279,KS,Kansas
"Washington County, Kansas",Washington County,5686,45159,KS,Kansas
"Wichita County, Kansas",Wichita County,2204,57171,KS,Kansas
"Wilson County, Kansas",Wilson County,9061,40306,KS,Kansas
"Woodson County, Kansas",Woodson County,3211,35787,KS,Kansas
"Wyandotte County, Kansas",Wyandotte County,160806,40113,KS,Kansas
"Adair County, Kentucky",Adair County,18852,33362,KY,Kentucky
"Allen County, Kentucky",Allen County,20355,41326,KY,Kentucky
"Anderson County, Kentucky",Anderson County,21761,53974,KY,Kentucky
"Ballard County, Kentucky",Ballard County,8256,42244,KY,Kentucky
"Barren County, Kentucky",Barren County,42925,38370,KY,Kentucky
"Bath County, Kentucky",Bath County,11978,33483,KY,Kentucky
"Bell County, Kentucky",Bell County,27950,22443,KY,Kentucky
"Boone County, Kentucky",Boone County,124617,66730,KY,Kentucky
"Bourbon County, Kentucky",Bourbon County,20013,45208,KY,Kentucky
"Boyd County, Kentucky",Boyd County,48917,42319,KY,Kentucky
"Boyle County, Kentucky",Boyle County,29388,39704,KY,Kentucky
"Bracken County, Kentucky",Bracken County,8425,36327,KY,Kentucky
"Breathitt County, Kentucky",Breathitt County,13591,25817,KY,Kentucky
"Breckinridge County, Kentucky",Breckinridge County,20061,43479,KY,Kentucky
"Bullitt County, Kentucky",Bullitt County,76961,55975,KY,Kentucky
"Butler County, Kentucky",Butler County,12835,33536,KY,Kentucky
"Caldwell County, Kentucky",Caldwell County,12826,42537,KY,Kentucky
"Calloway County, Kentucky",Calloway County,38106,37034,KY,Kentucky
"Campbell County, Kentucky",Campbell County,91475,54621,KY,Kentucky
"Carlisle County, Kentucky",Carlisle County,4984,38829,KY,Kentucky
"Carroll County, Kentucky",Carroll County,10830,41439,KY,Kentucky
"Carter County, Kentucky",Carter County,27326,36696,KY,Kentucky
"Casey County, Kentucky",Casey County,15954,32341,KY,Kentucky
"Christian County, Kentucky",Christian County,74159,39521,KY,Kentucky
"Clark County, Kentucky",Clark County,35657,47959,KY,Kentucky
"Clay County, Kentucky",Clay County,21300,21549,KY,Kentucky
"Clinton County, Kentucky",Clinton County,10188,28025,KY,Kentucky
"Crittenden County, Kentucky",Crittenden County,9222,35316,KY,Kentucky
"Cumberland County, Kentucky",Cumberland County,6807,32019,KY,Kentucky
"Daviess County, Kentucky",Daviess County,98173,45989,KY,Kentucky
"Edmonson County, Kentucky",Edmonson County,12105,41710,KY,Kentucky
"Elliott County, Kentucky",Elliott County,7725,28224,KY,Kentucky
"Estill County, Kentucky",Estill County,14476,29770,KY,Kentucky
"Fayette County, Kentucky",Fayette County,308306,49778,KY,Kentucky
"Fleming County, Kentucky",Fleming County,14544,35469,KY,Kentucky
"Floyd County, Kentucky",Floyd County,38649,30096,KY,Kentucky
"Franklin County, Kentucky",Franklin County,49778,47964,KY,Kentucky
"Fulton County, Kentucky",Fulton County,6422,28359,KY,Kentucky
"Gallatin County, Kentucky",Gallatin County,8567,48370,KY,Kentucky
"Garrard County, Kentucky",Garrard County,16976,44243,KY,Kentucky
"Grant County, Kentucky",Grant County,24670,44824,KY,Kentucky
"Graves County, Kentucky",Graves County,37502,39530,KY,Kentucky
"Grayson County, Kentucky",Grayson County,26001,35030,KY,Kentucky
"Green County, Kentucky",Green County,11149,34982,KY,Kentucky
"Greenup County, Kentucky",Greenup County,36477,45370,KY,Kentucky
"Hancock County, Kentucky",Hancock County,8669,50476,KY,Kentucky
"Hardin County, Kentucky",Hardin County,107529,50765,KY,Kentucky
"Harlan County, Kentucky",Harlan County,28400,25814,KY,Kentucky
"Harrison County, Kentucky",Harrison County,18648,35681,KY,Kentucky
"Hart County, Kentucky",Hart County,18441,34774,KY,Kentucky
"Henderson County, Kentucky",Henderson County,46396,41036,KY,Kentucky
"Henry County, Kentucky",Henry County,15455,46495,KY,Kentucky
"Hickman County, Kentucky",Hickman County,4720,41218,KY,Kentucky
"Hopkins County, Kentucky",Hopkins County,46518,42346,KY,Kentucky
"Jackson County, Kentucky",Jackson County,13357,29826,KY,Kentucky
"Jefferson County, Kentucky",Jefferson County,755809,48695,KY,Kentucky
"Jessamine County, Kentucky",Jessamine County,50328,50558,KY,Kentucky
"Johnson County, Kentucky",Johnson County,23350,35570,KY,Kentucky
"Kenton County, Kentucky",Kenton County,163007,54296,KY,Kentucky
"Knott County, Kentucky",Knott County,16000,30411,KY,Kentucky
"Knox County, Kentucky",Knox County,31809,26599,KY,Kentucky
"Larue County, Kentucky",Larue County,14149,38578,KY,Kentucky
"Laurel County, Kentucky",Laurel County,59751,36020,KY,Kentucky
"Lawrence County, Kentucky",Lawrence County,15821,35935,KY,Kentucky
"Lee County, Kentucky",Lee County,7119,22698,KY,Kentucky
"Leslie County, Kentucky",Leslie County,10997,25872,KY,Kentucky
"Letcher County, Kentucky",Letcher County,23671,30333,KY,Kentucky
"Lewis County, Kentucky",Lewis County,13790,28630,KY,Kentucky
"Lincoln County, Kentucky",Lincoln County,24498,37139,KY,Kentucky
"Livingston County, Kentucky",Livingston County,9394,42171,KY,Kentucky
"Logan County, Kentucky",Logan County,26851,38570,KY,Kentucky
"Lyon County, Kentucky",Lyon County,8402,46931,KY,Kentucky
"McCracken County, Kentucky",McCracken County,65408,44067,KY,Kentucky
"McCreary County, Kentucky",McCreary County,18001,19328,KY,Kentucky
"McLean County, Kentucky",McLean County,9500,40770,KY,Kentucky
"Madison County, Kentucky",Madison County,85838,42390,KY,Kentucky
"Magoffin County, Kentucky",Magoffin County,12979,28500,KY,Kentucky
"Marion County, Kentucky",Marion County,19717,38826,KY,Kentucky
"Marshall County, Kentucky",Marshall County,31181,45212,KY,Kentucky
"Martin County, Kentucky",Martin County,12631,25795,KY,Kentucky
"Mason County, Kentucky",Mason County,17296,38824,KY,Kentucky
"Meade County, Kentucky",Meade County,29098,49884,KY,Kentucky
"Menifee County, Kentucky",Menifee County,6343,31503,KY,Kentucky
"Mercer County, Kentucky",Mercer County,21342,42083,KY,Kentucky
"Metcalfe County, Kentucky",Metcalfe County,9985,32294,KY,Kentucky
"Monroe County, Kentucky",Monroe County,10765,31045,KY,Kentucky
"Montgomery County, Kentucky",Montgomery County,27167,39275,KY,Kentucky
"Morgan County, Kentucky",Morgan County,13428,29707,KY,Kentucky
"Muhlenberg County, Kentucky",Muhlenberg County,31309,38961,KY,Kentucky
"Nelson County, Kentucky",Nelson County,44564,49298,KY,Kentucky
"Nicholas County, Kentucky",Nicholas County,7075,36097,KY,Kentucky
"Ohio County, Kentucky",Ohio County,24065,40189,KY,Kentucky
"Oldham County, Kentucky",Oldham County,63037,85452,KY,Kentucky
"Owen County, Kentucky",Owen County,10711,41934,KY,Kentucky
"Owsley County, Kentucky",Owsley County,4616,20985,KY,Kentucky
"Pendleton County, Kentucky",Pendleton County,14514,48353,KY,Kentucky
"Perry County, Kentucky",Perry County,28041,32667,KY,Kentucky
"Pike County, Kentucky",Pike County,63434,33183,KY,Kentucky
"Powell County, Kentucky",Powell County,12447,29736,KY,Kentucky
"Pulaski County, Kentucky",Pulaski County,63635,34790,KY,Kentucky
"Robertson County, Kentucky",Robertson County,2208,31741,KY,Kentucky
"Rockcastle County, Kentucky",Rockcastle County,16942,31555,KY,Kentucky
"Rowan County, Kentucky",Rowan County,23608,36860,KY,Kentucky
"Russell County, Kentucky",Russell County,17669,30720,KY,Kentucky
"Scott County, Kentucky",Scott County,50178,63027,KY,Kentucky
"Shelby County, Kentucky",Shelby County,44290,60324,KY,Kentucky
"Simpson County, Kentucky",Simpson County,17704,39679,KY,Kentucky
"Spencer County, Kentucky",Spencer County,17577,63000,KY,Kentucky
"Taylor County, Kentucky",Taylor County,24993,33340,KY,Kentucky
"Todd County, Kentucky",Todd County,12524,40497,KY,Kentucky
"Trigg County, Kentucky",Trigg County,14250,44083,KY,Kentucky
"Trimble County, Kentucky",Trimble County,8783,47409,KY,Kentucky
"Union County, Kentucky",Union County,15138,40120,KY,Kentucky
"Warren County, Kentucky",Warren County,118950,44911,KY,Kentucky
"Washington County, Kentucky",Washington County,11910,40976,KY,Kentucky
"Wayne County, Kentucky",Wayne County,20655,28573,KY,Kentucky
"Webster County, Kentucky",Webster County,13357,38917,KY,Kentucky
"Whitley County, Kentucky",Whitley County,35794,31014,KY,Kentucky
"Wolfe County, Kentucky",Wolfe County,7261,20504,KY,Kentucky
"Woodford County, Kentucky",Woodford County,25317,58750,KY,Kentucky
"Acadia Parish, Louisiana",Acadia Parish,62163,37649,LA,Louisiana
"Allen Parish, Louisiana",Allen Parish,25653,40948,LA,Louisiana
"Ascension Parish, Louisiana",Ascension Parish,114738,70551,LA,Louisiana
"Assumption Parish, Louisiana",Assumption Parish,23057,49167,LA,Louisiana
"Avoyelles Parish, Louisiana",Avoyelles Parish,41389,33739,LA,Louisiana
"Beauregard Parish, Louisiana",Beauregard Parish,36259,45969,LA,Louisiana
"Bienville Parish, Louisiana",Bienville Parish,13977,32876,LA,Louisiana
"Bossier Parish, Louisiana",Bossier Parish,123403,52892,LA,Louisiana
"Caddo Parish, Louisiana",Caddo Parish,254742,41234,LA,Louisiana
"Calcasieu Parish, Louisiana",Calcasieu Parish,195887,45312,LA,Louisiana
"Caldwell Parish, Louisiana",Caldwell Parish,9990,33294,LA,Louisiana
"Cameron Parish, Louisiana",Cameron Parish,6706,64231,LA,Louisiana
"Catahoula Parish, Louisiana",Catahoula Parish,10247,34904,LA,Louisiana
"Claiborne Parish, Louisiana",Claiborne Parish,16639,32072,LA,Louisiana
"Concordia Parish, Louisiana",Concordia Parish,20449,29654,LA,Louisiana
"De Soto Parish, Louisiana",De Soto Parish,26965,41468,LA,Louisiana
"East Baton Rouge Parish, Louisiana",East Baton Rouge Parish,444690,49285,LA,Louisiana
"East Carroll Parish, Louisiana",East Carroll Parish,7501,21099,LA,Louisiana
"East Feliciana Parish, Louisiana",East Feliciana Parish,19855,45520,LA,Louisiana
"Evangeline Parish, Louisiana",Evangeline Parish,33768,30009,LA,Louisiana
"Franklin Parish, Louisiana",Franklin Parish,20550,30275,LA,Louisiana
"Grant Parish, Louisiana",Grant Parish,22362,39914,LA,Louisiana
"Iberia Parish, Louisiana",Iberia Parish,73938,45261,LA,Louisiana
"Iberville Parish, Louisiana",Iberville Parish,33229,45117,LA,Louisiana
"Jackson Parish, Louisiana",Jackson Parish,16109,38029,LA,Louisiana
"Jefferson Parish, Louisiana",Jefferson Parish,435092,47947,LA,Louisiana
"Jefferson Davis Parish, Louisiana",Jefferson Davis Parish,31434,39063,LA,Louisiana
"Lafayette Parish, Louisiana",Lafayette Parish,231811,51869,LA,Louisiana
"Lafourche Parish, Louisiana",Lafourche Parish,97474,51030,LA,Louisiana
"LaSalle Parish, Louisiana",LaSalle Parish,14899,37310,LA,Louisiana
"Lincoln Parish, Louisiana",Lincoln Parish,47349,33467,LA,Louisiana
"Livingston Parish, Louisiana",Livingston Parish,133949,58251,LA,Louisiana
"Madison Parish, Louisiana",Madison Parish,11873,23854,LA,Louisiana
"Morehouse Parish, Louisiana",Morehouse Parish,27012,28003,LA,Louisiana
"Natchitoches Parish, Louisiana",Natchitoches Parish,39330,31345,LA,Louisiana
"Orleans Parish, Louisiana",Orleans Parish,376738,36792,LA,Louisiana
"Ouachita Parish, Louisiana",Ouachita Parish,155769,37754,LA,Louisiana
"Plaquemines Parish, Louisiana",Plaquemines Parish,23599,50314,LA,Louisiana
"Pointe Coupee Parish, Louisiana",Pointe Coupee Parish,22498,43825,LA,Louisiana
"Rapides Parish, Louisiana",Rapides Parish,132225,40734,LA,Louisiana
"Red River Parish, Louisiana",Red River Parish,8838,38000,LA,Louisiana
"Richland Parish, Louisiana",Richland Parish,20777,36421,LA,Louisiana
"Sabine Parish, Louisiana",Sabine Parish,24248,38828,LA,Louisiana
"St. Bernard Parish, Louisiana",St. Bernard Parish,42858,42753,LA,Louisiana
"St. Charles Parish, Louisiana",St. Charles Parish,52639,59990,LA,Louisiana
"St. Helena Parish, Louisiana",St. Helena Parish,10818,35437,LA,Louisiana
"St. James Parish, Louisiana",St. James Parish,21650,51107,LA,Louisiana
"St. John the Baptist Parish, Louisiana",St. John the Baptist Parish,44161,50921,LA,Louisiana
"St. Landry Parish, Louisiana",St. Landry Parish,83613,32625,LA,Louisiana
"St. Martin Parish, Louisiana",St. Martin Parish,53126,42794,LA,Louisiana
"St. Mary Parish, Louisiana",St. Mary Parish,53441,40781,LA,Louisiana
"St. Tammany Parish, Louisiana",St. Tammany Parish,242960,62137,LA,Louisiana
"Tangipahoa Parish, Louisiana",Tangipahoa Parish,125486,41302,LA,Louisiana
"Tensas Parish, Louisiana",Tensas Parish,4893,22940,LA,Louisiana
"Terrebonne Parish, Louisiana",Terrebonne Parish,112742,47826,LA,Louisiana
"Union Parish, Louisiana",Union Parish,22533,34992,LA,Louisiana
"Vermilion Parish, Louisiana",Vermilion Parish,59110,45374,LA,Louisiana
"Vernon Parish, Louisiana",Vernon Parish,52476,46312,LA,Louisiana
"Washington Parish, Louisiana",Washington Parish,46556,30705,LA,Louisiana
"Webster Parish, Louisiana",Webster Parish,40617,33681,LA,Louisiana
"West Baton Rouge Parish, Louisiana",West Baton Rouge Parish,24669,53703,LA,Louisiana
"West Carroll Parish, Louisiana",West Carroll Parish,11454,31926,LA,Louisiana
"West Feliciana Parish, Louisiana",West Feliciana Parish,15415,56685,LA,Louisiana
"Winn Parish, Louisiana",Winn Parish,14855,31087,LA,Louisiana
"Androscoggin County, Maine",Androscoggin County,107393,47537,ME,Maine
"Aroostook County, Maine",Aroostook County,70005,36923,ME,Maine
"Cumberland County, Maine",Cumberland County,286119,60051,ME,Maine
"Franklin County, Maine",Franklin County,30402,42811,ME,Maine
"Hancock County, Maine",Hancock County,54658,47030,ME,Maine
"Kennebec County, Maine",Kennebec County,121112,46917,ME,Maine
"Knox County, Maine",Knox County,39723,50693,ME,Maine
"Lincoln County, Maine",Lincoln County,34156,50462,ME,Maine
"Oxford County, Maine",Oxford County,57421,40630,ME,Maine
"Penobscot County, Maine",Penobscot County,153437,44271,ME,Maine
"Piscataquis County, Maine",Piscataquis County,17156,37495,ME,Maine
"Sagadahoc County, Maine",Sagadahoc County,35092,53298,ME,Maine
"Somerset County, Maine",Somerset County,51577,40066,ME,Maine
"Waldo County, Maine",Waldo County,38976,44082,ME,Maine
"Washington County, Maine",Washington County,32191,38083,ME,Maine
"York County, Maine",York County,199682,57919,ME,Maine
"Allegany County, Maryland",Allegany County,73549,40551,MD,Maryland
"Anne Arundel County, Maryland",Anne Arundel County,555280,89860,MD,Maryland
"Baltimore County, Maryland",Baltimore County,822959,67095,MD,Maryland
"Calvert County, Maryland",Calvert County,90114,95828,MD,Maryland
"Caroline County, Maryland",Caroline County,32661,52465,MD,Maryland
"Carroll County, Maryland",Carroll County,167444,85385,MD,Maryland
"Cecil County, Maryland",Cecil County,101960,66396,MD,Maryland
"Charles County, Maryland",Charles County,152754,90607,MD,Maryland
"Dorchester County, Maryland",Dorchester County,32534,47093,MD,Maryland
"Frederick County, Maryland",Frederick County,241373,83700,MD,Maryland
"Garrett County, Maryland",Garrett County,29813,45432,MD,Maryland
"Harford County, Maryland",Harford County,248966,80465,MD,Maryland
"Howard County, Maryland",Howard County,304115,110238,MD,Maryland
"Kent County, Maryland",Kent County,19923,58147,MD,Maryland
"Montgomery County, Maryland",Montgomery County,1017859,99435,MD,Maryland
"Prince George's County, Maryland",Prince George's County,892816,74260,MD,Maryland
"Queen Anne's County, Maryland",Queen Anne's County,48600,85963,MD,Maryland
"St. Mary's County, Maryland",St. Mary's County,109614,86987,MD,Maryland
"Somerset County, Maryland",Somerset County,25980,35154,MD,Maryland
"Talbot County, Maryland",Talbot County,37799,58228,MD,Maryland
"Washington County, Maryland",Washington County,149270,56228,MD,Maryland
"Wicomico County, Maryland",Wicomico County,101182,52278,MD,Maryland
"Worcester County, Maryland",Worcester County,51519,56773,MD,Maryland
"Baltimore city, Maryland",Baltimore city,622454,42241,MD,Maryland
"Barnstable County, Massachusetts",Barnstable County,214766,63251,MA,Massachusetts
"Berkshire County, Massachusetts",Berkshire County,129288,49956,MA,Massachusetts
"Bristol County, Massachusetts",Bristol County,552763,56842,MA,Massachusetts
"Dukes County, Massachusetts",Dukes County,17048,64222,MA,Massachusetts
"Essex County, Massachusetts",Essex County,763849,69068,MA,Massachusetts
"Franklin County, Massachusetts",Franklin County,71144,55221,MA,Massachusetts
"Hampden County, Massachusetts",Hampden County,468041,50461,MA,Massachusetts
"Hampshire County, Massachusetts",Hampshire County,160759,61368,MA,Massachusetts
"Middlesex County, Massachusetts",Middlesex County,1556116,85118,MA,Massachusetts
"Nantucket County, Massachusetts",Nantucket County,10556,84057,MA,Massachusetts
"Norfolk County, Massachusetts",Norfolk County,687721,88262,MA,Massachusetts
"Plymouth County, Massachusetts",Plymouth County,503681,75459,MA,Massachusetts
"Suffolk County, Massachusetts",Suffolk County,758919,55044,MA,Massachusetts
"Worcester County, Massachusetts",Worcester County,810935,65313,MA,Massachusetts
"Alcona County, Michigan",Alcona County,10550,38033,MI,Michigan
"Alger County, Michigan",Alger County,9476,39300,MI,Michigan
"Allegan County, Michigan",Allegan County,112837,54264,MI,Michigan
"Alpena County, Michigan",Alpena County,29068,38829,MI,Michigan
"Antrim County, Michigan",Antrim County,23267,46845,MI,Michigan
"Arenac County, Michigan",Arenac County,15424,38307,MI,Michigan
"Baraga County, Michigan",Baraga County,8690,39803,MI,Michigan
"Barry County, Michigan",Barry County,59147,55064,MI,Michigan
"Bay County, Michigan",Bay County,106698,45583,MI,Michigan
"Benzie County, Michigan",Benzie County,17437,47388,MI,Michigan
"Berrien County, Michigan",Berrien County,155565,44993,MI,Michigan
"Branch County, Michigan",Branch County,43706,44373,MI,Michigan
"Calhoun County, Michigan",Calhoun County,134790,42520,MI,Michigan
"Cass County, Michigan",Cass County,51952,46570,MI,Michigan
"Charlevoix County, Michigan",Charlevoix County,26134,46554,MI,Michigan
"Cheboygan County, Michigan",Cheboygan County,25690,40219,MI,Michigan
"Chippewa County, Michigan",Chippewa County,38586,41993,MI,Michigan
"Clare County, Michigan",Clare County,30710,33015,MI,Michigan
"Clinton County, Michigan",Clinton County,76905,60909,MI,Michigan
"Crawford County, Michigan",Crawford County,13895,41743,MI,Michigan
"Delta County, Michigan",Delta County,36712,42031,MI,Michigan
"Dickinson County, Michigan",Dickinson County,26012,43779,MI,Michigan
"Eaton County, Michigan",Eaton County,108341,54993,MI,Michigan
"Emmet County, Michigan",Emmet County,33018,51018,MI,Michigan
"Genesee County, Michigan",Genesee County,415874,42327,MI,Michigan
"Gladwin County, Michigan",Gladwin County,25501,38021,MI,Michigan
"Gogebic County, Michigan",Gogebic County,15824,35686,MI,Michigan
"Grand Traverse County, Michigan",Grand Traverse County,89907,52950,MI,Michigan
"Gratiot County, Michigan",Gratiot County,41878,41912,MI,Michigan
"Hillsdale County, Michigan",Hillsdale County,46178,41961,MI,Michigan
"Houghton County, Michigan",Houghton County,36660,37776,MI,Michigan
"Huron County, Michigan",Huron County,32290,42161,MI,Michigan
"Ingham County, Michigan",Ingham County,283491,45679,MI,Michigan
"Ionia County, Michigan",Ionia County,64064,49124,MI,Michigan
"Iosco County, Michigan",Iosco County,25401,37317,MI,Michigan
"Iron County, Michigan",Iron County,11507,33663,MI,Michigan
"Isabella County, Michigan",Isabella County,70669,39377,MI,Michigan
"Jackson County, Michigan",Jackson County,159759,46326,MI,Michigan
"Kalamazoo County, Michigan",Kalamazoo County,256752,47476,MI,Michigan
"Kalkaska County, Michigan",Kalkaska County,17230,40534,MI,Michigan
"Kent County, Michigan",Kent County,622590,53063,MI,Michigan
"Keweenaw County, Michigan",Keweenaw County,2198,37813,MI,Michigan
"Lake County, Michigan",Lake County,11426,30439,MI,Michigan
"Lapeer County, Michigan",Lapeer County,88235,52996,MI,Michigan
"Leelanau County, Michigan",Leelanau County,21772,56189,MI,Michigan
"Lenawee County, Michigan",Lenawee County,98902,48043,MI,Michigan
